City,Customer Name,Customer Segment,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Customer Age,Discount,Discount %,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Muncie,Hilary Holden,Corporate,11-08-2015,47846,High,Furniture,Large Box,Dana Swing-Arm Lamps,Office Furnishings,Central,6715,13-08-2015,Regular Air,Indiana,47302,67,0.01,1,1,5,0.6,-9.45,66.43,13.04,10.68
Noblesville,Jack Lebron,Corporate,11-10-2013,22469,High,Furniture,Large Box,Hon 5100 Series Wood Tables,Tables,Central,3134,13-10-2013,Regular Air,Indiana,46060,50,0.02,2,1,23,0.67,40.32,6693.28,69,290.98
Tinley Park,Alan Barnes,Corporate,29-03-2013,42209,High,Furniture,Large Box,SAFCO Arco Folding Chair,Chairs & Chairmats,Central,5945,01-04-2013,Regular Air,Illinois,60477,46,0.04,4,1,31,,2795.36,8901.78,24.49,276.2
Kokomo,Guy Armstrong,Corporate,26-03-2014,50404,High,Furniture,Large Box,"Lesro Round Back Collection Coffee Table, End Table",Tables,Central,7064,28-03-2014,Regular Air,Indiana,46901,54,0.04,4,1,10,0.72,-367.002,1961.68,69,182.55
Oak Park,Shahid Shariari,Corporate,12-11-2013,8992,High,Furniture,Large Box,Hon Olson Stacker Stools,Chairs & Chairmats,Central,1221,13-11-2013,Regular Air,Michigan,48237,51,0.06,6,1,3,0.57,-154.45,441.43,24.49,140.81
Woodstock,Jeremy Lonsdale,Corporate,10-08-2014,39683,High,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Central,5599,11-08-2014,Regular Air,Illinois,60098,56,0.1,10,1,41,0.57,2113.95,8387.1,18.06,218.08
Lawrence,Sonia Sunley,Corporate,15-03-2014,24070,High,Furniture,Large Box,Hon Olson Stacker Stools,Chairs & Chairmats,Central,3369,16-03-2014,Regular Air,Kansas,66044,54,0.1,10,1,3,0.57,-164.59,431.29,24.49,140.81
Muncie,Hilary Holden,Corporate,11-08-2015,47846,High,Furniture,Medium Box,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Office Furnishings,Central,6717,12-08-2015,Regular Air,Indiana,47302,67,0.03,3,1,50,0.65,1581.93,5513.82,13.99,105.98
East Saint Louis,Jamie Kunitz,Corporate,09-11-2015,39364,High,Furniture,Medium Box,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,Central,5559,10-11-2015,Regular Air,Illinois,62205,73,0.06,6,1,29,0.67,-1.33,2754.93,39.61,92.23
Muncie,Hilary Holden,Corporate,11-08-2015,47846,High,Furniture,Medium Box,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Office Furnishings,Central,6716,13-08-2015,Regular Air,Indiana,47302,67,0.06,6,1,25,0.69,631.99,2674.18,13.99,110.98
Saint Charles,Doug Bickford,Corporate,09-07-2015,58368,High,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,Central,8162,11-07-2015,Regular Air,Illinois,60174,66,0,0,1,4,0.43,-4.43,14.23,5.33,2.08
Saint Paul,Chad Sievert,Corporate,05-10-2012,9923,High,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,Central,1364,05-10-2012,Regular Air,Minnesota,55106,43,0.01,1,1,27,0.43,-96.03,63.71,5.33,2.08
San Marcos,Candace McMahon,Corporate,19-07-2014,449,High,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,Central,75,21-07-2014,Regular Air,Texas,78666,56,0.02,2,1,45,0.56,-48.97,356.7,5.21,7.38
Battle Creek,Giulietta Weimer,Corporate,09-10-2013,48452,High,Furniture,Small Box,"Eldon® Image Series Desk Accessories, Burgundy",Office Furnishings,Central,6799,10-10-2013,Regular Air,Michigan,49017,50,0.03,3,1,44,0.49,-192.56,185.32,6.92,4.18
Richfield,Art Ferguson,Corporate,12-03-2014,18432,High,Furniture,Small Box,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Office Furnishings,Central,2540,12-03-2014,Regular Air,Minnesota,55423,53,0.04,4,1,42,0.57,1.16,451.32,5.16,10.64
Plymouth,Theone Pippenger,Corporate,07-08-2015,51365,High,Furniture,Small Box,Eldon Wave Desk Accessories,Office Furnishings,Central,7201,09-08-2015,Regular Air,Minnesota,55441,67,0.08,8,1,35,0.41,-72.46,195.23,5.57,5.89
Pharr,Tamara Dahlen,Corporate,22-05-2014,41891,High,Furniture,Small Box,Eldon Executive Woodline II Cherry Finish Desk Accessories,Office Furnishings,Central,5909,23-05-2014,Regular Air,Texas,78577,55,0.08,8,1,22,0.57,-1.95,846.59,18.98,40.89
Belvidere,Beth Thompson,Corporate,31-07-2013,22151,High,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Central,3089,31-07-2013,Regular Air,Illinois,61008,48,0.1,10,1,49,0.55,-79.72,465.83,6.22,9.65
Flint,Liz Price,Corporate,11-08-2012,20389,High,Furniture,Small Pack,Ultra Door Pull Handle,Office Furnishings,Central,2825,13-08-2012,Regular Air,Michigan,48505,42,0.01,1,1,24,0.52,-30.42,270.39,7.94,10.52
Warren,Mark Cousins,Corporate,23-06-2015,24580,High,Furniture,Small Pack,Eldon Pizzaz™ Desk Accessories,Office Furnishings,Central,3447,25-06-2015,Regular Air,Michigan,48093,66,0.01,1,1,14,0.41,-31.45,36.41,4.57,2.23
New Castle,Logan Haushalter,Corporate,10-09-2015,58278,High,Furniture,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Office Furnishings,Central,8149,12-09-2015,Regular Air,Indiana,47362,68,0.08,8,1,37,0.35,2093.7,3512.9,8.99,99.23
Woodstock,Jeremy Lonsdale,Corporate,10-08-2014,39683,High,Furniture,Small Pack,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Office Furnishings,Central,5600,11-08-2014,Regular Air,Illinois,60098,56,0.09,9,1,6,0.49,66.97,126.02,6.67,20.24
Crown Point,Christopher Schild,Corporate,30-08-2013,30372,High,Furniture,Small Pack,Aluminum Document Frame,Office Furnishings,Central,4267,01-09-2013,Regular Air,Indiana,46307,49,0.1,10,1,1,0.55,-7.39,14.4,2.85,12.22
Texarkana,Dan Lawera,Corporate,28-09-2012,16771,High,Furniture,Wrap Bag,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,Central,2326,30-09-2012,Regular Air,Texas,75503,43,0.02,2,1,42,0.65,339.17,1737.06,9.2,39.98
Belvidere,Beth Thompson,Corporate,27-06-2015,16706,High,Furniture,Wrap Bag,Eldon Econocleat® Chair Mats for Low Pile Carpets,Office Furnishings,Central,2316,28-06-2015,Regular Air,Illinois,61008,66,0.03,3,1,47,0.73,-1003.58,1943.72,34.2,41.47
Shawnee,Ritsa Hightower,Corporate,24-08-2013,34209,High,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,Central,4809,26-08-2013,Regular Air,Oklahoma,74801,49,0.04,4,1,48,0.46,165.9,705.44,5.3,14.2
Beaumont,Darren Budd,Corporate,05-03-2013,46855,High,Furniture,Wrap Bag,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Office Furnishings,Central,6582,06-03-2013,Regular Air,Texas,77705,46,0.04,4,1,32,0.68,-4.68,53.34,0.7,1.68
Arlington,Darren Budd,Corporate,12-12-2013,12160,Low,Furniture,Jumbo Drum,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,Central,1685,16-12-2013,Regular Air,Texas,76017,51,0.08,8,1,2,0.56,-45.3,55.21,8.79,24.98
Mundelein,Sylvia Foulston,Corporate,28-06-2015,24743,Low,Furniture,Large Box,Hon Olson Stacker Stools,Chairs & Chairmats,Central,3479,03-07-2015,Regular Air,Illinois,60060,66,0,0,1,26,0.57,753.61,3758.77,24.49,140.81
Arlington,Darren Budd,Corporate,12-12-2013,12160,Low,Furniture,Large Box,"Dana Fluorescent Magnifying Lamp, White, 36""",Office Furnishings,Central,1686,17-12-2013,Regular Air,Texas,76017,51,0.01,1,1,9,0.55,-42.4925,38.3,6.27,3.36
Crystal Lake,Grant Carroll,Corporate,07-08-2014,7110,Low,Furniture,Large Box,SAFCO Arco Folding Chair,Chairs & Chairmats,Central,988,11-08-2014,Regular Air,Illinois,60014,56,0.02,2,1,22,,1902.24,6396.2,24.49,276.2
Burleson,Dave Hallsten,Corporate,04-07-2012,56002,Low,Furniture,Large Box,Hon 5100 Series Wood Tables,Tables,Central,7834,06-07-2012,Regular Air,Texas,76028,41,0.07,7,1,14,0.67,-377.811,3857.56,69,290.98
Rockford,Doug Bickford,Corporate,12-04-2013,11456,Low,Furniture,Large Box,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,Central,1589,19-04-2013,Regular Air,Illinois,61107,46,0.09,9,1,15,0.61,399.37,1519.9,24.49,105.34
Michigan City,Hilary Holden,Corporate,10-09-2015,11362,Low,Furniture,Medium Box,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Office Furnishings,Central,1571,12-09-2015,Regular Air,Indiana,46360,68,0.09,9,1,32,0.69,569.57,3245.73,13.99,110.98
La Porte,Philip Brown,Corporate,18-12-2014,41991,Low,Furniture,Small Box,DAX Clear Channel Poster Frame,Office Furnishings,Central,5923,22-12-2014,Regular Air,Indiana,46350,60,0,0,1,35,0.48,68.44,543.22,7.4,14.58
Southgate,Lela Donovan,Corporate,21-07-2013,10306,Low,Furniture,Small Box,DAX Clear Channel Poster Frame,Office Furnishings,Central,1420,21-07-2013,Regular Air,Michigan,48195,48,0.02,2,1,20,0.48,51.5,310.31,7.4,14.58
Shakopee,Charles Sheldon,Corporate,17-06-2012,48931,Low,Furniture,Small Box,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Office Furnishings,Central,6869,22-06-2012,Regular Air,Minnesota,55379,41,0.03,3,1,42,0.55,217.87,2149.37,19.99,51.75
Indianapolis,Greg Guthrie,Corporate,11-01-2014,12773,Low,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,Central,1784,20-01-2014,Regular Air,Indiana,46203,52,0.04,4,1,15,0.49,-49.6,67.41,6.6,4.14
Wichita Falls,George Bell,Corporate,04-07-2014,26145,Low,Furniture,Small Box,"Eldon® Expressions™ Wood and Plastic Desk Accessories, Oak",Office Furnishings,Central,3652,04-07-2014,Regular Air,Texas,76308,56,0.04,4,1,49,0.57,-362.11,510.15,12.52,9.98
Wylie,George Bell,Corporate,03-12-2015,48615,Low,Furniture,Small Box,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Office Furnishings,Central,6827,08-12-2015,Regular Air,Texas,75098,76,0.04,4,1,8,0.54,219.02,464.66,14.83,54.74
Eden Prairie,Mike Kennedy,Corporate,07-06-2014,46885,Low,Furniture,Small Box,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,Central,6590,12-06-2014,Regular Air,Minnesota,55343,55,0.05,5,1,32,0.46,720.45,1997.13,14.48,63.94
Rockford,Doug Bickford,Corporate,27-05-2014,10535,Low,Furniture,Small Box,"Linden® 12"" Wall Clock With Oak Frame",Office Furnishings,Central,1462,29-05-2014,Regular Air,Illinois,61107,55,0.09,9,1,25,0.55,-44.14,854.88,19.99,33.98
Portage,Jack Lebron,Corporate,29-03-2014,24965,Low,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,Central,3506,29-03-2014,Regular Air,Indiana,46368,54,0.09,9,1,42,0.42,330.63,1146.11,8.55,29.18
Wichita Falls,George Bell,Corporate,04-07-2014,26145,Low,Furniture,Small Box,"Seth Thomas 14"" Putty-Colored Wall Clock",Office Furnishings,Central,3653,06-07-2014,Regular Air,Texas,76308,56,0.1,10,1,27,0.54,153.5,735.09,7.87,29.34
Sterling Heights,Lela Donovan,Corporate,31-03-2015,33284,Low,Furniture,Small Pack,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Office Furnishings,Central,4678,02-04-2015,Regular Air,Michigan,48310,63,0.01,1,1,21,0.41,144.66,480.39,8.99,22.23
Richmond,Jack Lebron,Corporate,12-08-2013,59074,Low,Furniture,Small Pack,"GE 4 Foot Flourescent Tube, 40 Watt",Office Furnishings,Central,8263,14-08-2013,Regular Air,Indiana,47374,49,0.03,3,1,37,0.39,70.8,589.63,8.99,14.98
Hastings,Joel Jenkins,Corporate,22-04-2013,35142,Low,Furniture,Small Pack,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Office Furnishings,Central,4946,24-04-2013,Regular Air,Nebraska,68901,47,0.03,3,1,11,0.49,89.29,231.27,6.67,20.24
East Chicago,Christopher Schild,Corporate,28-03-2014,34048,Low,Furniture,Small Pack,"Executive Impressions 14"" Contract Wall Clock",Office Furnishings,Central,4792,30-03-2014,Regular Air,Indiana,46312,54,0.04,4,1,1,0.52,-10.74,26.68,3.63,22.23
Mason City,Sally Knutson,Corporate,15-06-2013,47750,Low,Furniture,Small Pack,"Executive Impressions 13"" Chairman Wall Clock",Office Furnishings,Central,6706,20-06-2013,Regular Air,Iowa,50401,47,0.05,5,1,43,0.5,216.12,1097.6,8.99,25.38
Eagan,Mike Kennedy,Corporate,07-06-2014,46885,Low,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Central,6588,11-06-2014,Regular Air,Minnesota,55122,55,0.05,5,1,27,0.44,165.35,632.55,8.99,22.72
North Platte,Liz MacKendrick,Corporate,23-07-2013,3109,Low,Furniture,Small Pack,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Office Furnishings,Central,458,30-07-2013,Regular Air,Nebraska,69101,48,0.1,10,1,47,0.41,199.3,1005.74,8.99,22.23
La Porte,Philip Brown,Corporate,18-12-2014,41991,Low,Furniture,Wrap Bag,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Office Furnishings,Central,5924,22-12-2014,Regular Air,Indiana,46350,60,0.06,6,1,18,0.68,256.66,813.9,4.8,45.98
Rowlett,Alan Hwang,Corporate,07-06-2013,58851,Low,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,Central,8231,11-06-2013,Regular Air,Texas,75088,47,0.1,10,1,3,0.43,-6.39,23.93,0.96,8.34
Austin,Darren Budd,Corporate,15-09-2014,27589,Medium,Furniture,Jumbo Box,Global Adaptabilities™ Conference Tables,Tables,Central,3869,16-09-2014,Regular Air,Texas,78745,57,0.07,7,1,36,0.66,-18.64035,64.43,1.49,1.88
Beaumont,Darren Budd,Corporate,10-03-2013,52098,Medium,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Central,7307,10-03-2013,Regular Air,Texas,77705,46,0,0,1,19,0.61,220.065,812.06,10.55,39.06
Dallas,Anna Haberlin,Corporate,10-04-2014,18182,Medium,Furniture,Medium Box,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Office Furnishings,Central,2502,11-04-2014,Regular Air,Texas,75217,54,0.01,1,1,45,0.72,-1363.12,2673.08,52.2,55.5
Carrollton,Erin Creighton,Corporate,31-07-2012,18753,Medium,Furniture,Medium Box,SAFCO Folding Chair Trolley,Chairs & Chairmats,Central,2592,02-08-2012,Regular Air,Texas,75007,42,0.03,3,1,31,,1031.32,3945.95,12.65,128.24
Gurnee,Mike Pelletier,Corporate,27-08-2013,37860,Medium,Furniture,Medium Box,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Office Furnishings,Central,5325,29-08-2013,Regular Air,Illinois,60031,49,0.07,7,1,1,0.72,-98.31,104.85,52.2,55.5
Elkhart,Dan Reichenbach,Corporate,02-03-2013,35300,Medium,Furniture,Medium Box,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Office Furnishings,Central,4963,05-03-2013,Regular Air,Indiana,46514,46,0.08,8,1,35,0.76,126.03,1445.6,8.66,41.32
Port Huron,Shahid Shariari,Corporate,14-12-2013,36805,Medium,Furniture,Small Box,Hand-Finished Solid Wood Document Frame,Office Furnishings,Central,5174,16-12-2013,Regular Air,Michigan,48060,51,0,0,1,7,0.55,165.33,263.8,5.02,34.23
Westland,Mark Cousins,Corporate,12-12-2013,30149,Medium,Furniture,Small Box,9-3/4 Diameter Round Wall Clock,Office Furnishings,Central,4240,15-12-2013,Regular Air,Michigan,48185,51,0.03,3,1,50,0.43,-16.94,690.97,8.78,13.79
Saint Peters,Guy Thornton,Corporate,21-11-2013,5863,Medium,Furniture,Small Box,"Seth Thomas 12"" Clock w/ Goldtone Case",Office Furnishings,Central,814,22-11-2013,Regular Air,MO,63376,51,0.05,5,1,40,0.51,207.18,933.21,7.58,22.98
Southgate,Lela Donovan,Corporate,26-03-2013,7169,Medium,Furniture,Small Box,"Career Cubicle Clock, 8 1/4"", Black",Office Furnishings,Central,992,28-03-2013,Regular Air,Michigan,48195,46,0.05,5,1,22,0.47,-39,446.72,14.39,20.28
North Platte,Liz MacKendrick,Corporate,02-03-2013,1600,Medium,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Central,237,04-03-2013,Regular Air,Nebraska,69101,46,0.1,10,1,32,0.55,-45.99,303.59,6.22,9.65
Munster,Paul Gonzalez,Corporate,07-03-2014,16100,Medium,Furniture,Small Pack,Magna Visual Magnetic Picture Hangers,Office Furnishings,Central,2227,08-03-2014,Regular Air,Indiana,46321,53,0.01,1,1,44,0.47,-115.54,226.18,5.72,4.82
Wheeling,Carl Ludwig,Corporate,23-03-2014,24871,Medium,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Central,3493,24-03-2014,Regular Air,Illinois,60090,54,0.04,4,1,6,0.44,75.3,143.78,8.99,22.72
Austin,Darren Budd,Corporate,15-09-2014,27589,Medium,Furniture,Small Pack,"Executive Impressions 12"" Wall Clock",Office Furnishings,Central,3868,16-09-2014,Regular Air,Texas,78745,57,0.04,4,1,25,0.47,69.97,467,8.99,17.67
San Marcos,Candace McMahon,Corporate,29-07-2013,22054,Medium,Furniture,Small Pack,G.E. Halogen Desk Lamp Bulbs,Office Furnishings,Central,3075,31-07-2013,Regular Air,Texas,78666,48,0.07,7,1,32,0.37,57.55,216.79,2.83,6.98
Highland,Jim Sink,Corporate,22-09-2014,45606,Medium,Furniture,Small Pack,"Eldon® 400 Class™ Desk Accessories, Black Carbon",Office Furnishings,Central,6419,24-09-2014,Regular Air,Indiana,46322,57,0.1,10,1,38,0.43,-124.25,325.75,8.54,8.75
Grapevine,Linda Cazamias,Corporate,18-09-2012,19204,Medium,Furniture,Small Pack,"Eldon® 400 Class™ Desk Accessories, Black Carbon",Office Furnishings,Central,2653,19-09-2012,Regular Air,Texas,76051,43,0.1,10,1,27,0.43,-80.75,233.92,8.54,8.75
Watauga,Amy Cox,Corporate,23-10-2012,34918,Medium,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,Central,4908,25-10-2012,Regular Air,Texas,76148,43,0.01,1,1,25,0.42,-60.61,200.77,7.98,7.28
Bartlesville,Jas O'Carroll,Corporate,04-10-2012,50051,Medium,Furniture,Wrap Bag,Eldon Econocleat® Chair Mats for Low Pile Carpets,Office Furnishings,Central,7012,06-10-2012,Regular Air,Oklahoma,74006,43,0.09,9,1,4,0.73,10.2,185.15,34.2,41.47
Maryland Heights,Bruce Stewart,Corporate,05-09-2013,36449,Not Specified,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,Central,5114,05-09-2013,Regular Air,MO,63043,49,0.02,2,1,6,0.73,-26.39,90.75,14.37,12.99
Valparaiso,Joy Smith,Corporate,02-10-2012,18788,Not Specified,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Central,2600,03-10-2012,Regular Air,Indiana,46383,43,0.03,3,1,27,0.6,-19.33,566.12,11.17,19.99
Indianapolis,Greg Guthrie,Corporate,10-02-2014,51461,Not Specified,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Central,7209,12-02-2014,Regular Air,Indiana,46203,53,0.07,7,1,43,0.6,-97.54,858.53,11.17,19.99
Elgin,Jamie Kunitz,Corporate,03-07-2013,43236,Not Specified,Furniture,Medium Box,DAX Solid Wood Frames,Office Furnishings,Central,6103,05-07-2013,Regular Air,Illinois,60123,48,0,0,1,20,0.48,10.68,205.33,6.02,9.77
Dallas,Anna Haberlin,Corporate,16-05-2013,6438,Not Specified,Furniture,Medium Box,DAX Solid Wood Frames,Office Furnishings,Central,896,16-05-2013,Regular Air,Texas,75217,47,0.02,2,1,7,0.48,20.29,75.72,6.02,9.77
Brookings,Lisa DeCherney,Corporate,02-04-2014,12323,Not Specified,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,Central,1716,04-04-2014,Regular Air,South Dakota,57006,54,0,0,1,4,0.56,14.19,36.8,5.21,7.38
Carrollton,Erin Creighton,Corporate,29-09-2012,4354,Not Specified,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,Central,625,30-09-2012,Regular Air,Texas,75007,43,0.02,2,1,6,0.56,7.74,49.04,5.21,7.38
Coralville,Monica Federle,Corporate,24-08-2013,51879,Not Specified,Furniture,Small Box,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Office Furnishings,Central,7273,26-08-2013,Regular Air,Iowa,52241,49,0.03,3,1,26,0.44,372.26,1382.31,19.99,51.94
Bismarck,Rick Wilson,Corporate,23-06-2013,37440,Not Specified,Furniture,Small Box,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Office Furnishings,Central,5258,25-06-2013,Regular Air,North Dakota,58501,48,0.03,3,1,31,0.57,-4.36,295.45,4.93,9.38
Saint Charles,Dorothy Wardle,Corporate,16-11-2014,6982,Not Specified,Furniture,Small Box,12-1/2 Diameter Round Wall Clock,Office Furnishings,Central,966,18-11-2014,Regular Air,Illinois,60174,59,0.04,4,1,41,0.49,52.56,844.09,10.49,19.98
Frankfort,Chuck Magee,Corporate,24-06-2012,19073,Not Specified,Furniture,Small Box,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Office Furnishings,Central,2633,25-06-2012,Regular Air,Indiana,46041,41,0.04,4,1,16,0.57,20.08,178.4,5.16,10.64
Owosso,Chuck Clark,Corporate,10-04-2013,40164,Not Specified,Furniture,Small Box,"Seth Thomas 12"" Clock w/ Goldtone Case",Office Furnishings,Central,5683,12-04-2013,Regular Air,Michigan,48841,46,0.04,4,1,8,0.51,75.63,184.07,7.58,22.98
Davenport,Luke Weiss,Corporate,11-12-2015,24576,Not Specified,Furniture,Small Box,DAX Clear Channel Poster Frame,Office Furnishings,Central,3442,13-12-2015,Regular Air,Iowa,52803,77,0.05,5,1,10,0.48,38.02,152.84,7.4,14.58
Bay City,Heather Jas,Corporate,28-08-2012,33732,Not Specified,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Central,4745,29-08-2012,Regular Air,Michigan,48708,42,0.05,5,1,33,0.55,-28.16,332.95,6.22,9.65
Bolingbrook,Beth Thompson,Corporate,28-01-2014,59047,Not Specified,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,Central,8258,30-01-2014,Regular Air,Illinois,60440,52,0.06,6,1,26,0.49,-93.93,113.85,6.6,4.14
Hays,Roy Skaria,Corporate,10-11-2015,55777,Not Specified,Furniture,Small Box,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Office Furnishings,Central,7796,11-11-2015,Regular Air,Kansas,67601,74,0.06,6,1,6,0.55,136.32,323.53,19.99,51.75
Champaign,Frank Price,Corporate,29-04-2013,5569,Not Specified,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Central,782,01-05-2013,Regular Air,Illinois,61821,47,0.09,9,1,12,0.55,-0.06,118.97,6.22,9.65
Stillwater,Ritsa Hightower,Corporate,12-05-2015,53024,Not Specified,Furniture,Small Box,"Career Cubicle Clock, 8 1/4"", Black",Office Furnishings,Central,7435,13-05-2015,Regular Air,Oklahoma,74074,65,0.09,9,1,9,0.47,12.4,187.13,14.39,20.28
Dubuque,Luke Weiss,Corporate,14-05-2013,51073,Not Specified,Furniture,Small Pack,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Office Furnishings,Central,7160,15-05-2013,Regular Air,Iowa,52001,47,0,0,1,49,0.44,813.35,1610.42,3.92,30.93
Kalamazoo,Ralph Kennedy,Corporate,26-05-2014,14471,Not Specified,Furniture,Small Pack,3M Polarizing Light Filter Sleeves,Office Furnishings,Central,2029,26-05-2014,Regular Air,Michigan,49001,55,0.03,3,1,44,0.39,375.02,823.63,3.77,18.65
Lincoln,Bobby Odegard,Corporate,23-03-2015,3973,Not Specified,Furniture,Small Pack,Artistic Insta-Plaque,Office Furnishings,Central,583,25-03-2015,Regular Air,Nebraska,68502,63,0.06,6,1,21,0.46,117.91,316.35,3.73,15.68
Rochester,Art Ferguson,Corporate,26-02-2015,53221,Not Specified,Furniture,Small Pack,Artistic Insta-Plaque,Office Furnishings,Central,7459,27-02-2015,Regular Air,Minnesota,55901,62,0.1,10,1,29,0.46,147.46,433.44,3.73,15.68
Mason City,Rob Haberlin,Corporate,05-11-2012,18247,Not Specified,Furniture,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,Central,2513,06-11-2012,Regular Air,Iowa,50401,44,0,0,1,20,0.42,27.22,155.8,4,7.59
Bettendorf,Justin Knight,Corporate,31-08-2014,6337,Not Specified,Furniture,Wrap Bag,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Office Furnishings,Central,882,02-09-2014,Regular Air,Iowa,52722,57,0.01,1,1,48,0.78,-912.08,3397.72,37.58,70.71
Dundalk,Helen Wasserman,Corporate,11-09-2012,10629,Critical,Furniture,Large Box,Westinghouse Clip-On Gooseneck Lamps,Office Furnishings,East,1472,13-09-2012,Regular Air,Maryland,21222,42,0.06,6,1,39,0.59,-255.65,341.55,10.16,8.37
Hudson,Liz Willingham,Corporate,05-08-2015,27299,Critical,Furniture,Large Box,Luxo Economy Swing Arm Lamp,Office Furnishings,East,3829,07-08-2015,Regular Air,Ohio,44236,67,0.1,10,1,41,0.57,-293.45,802.16,14.87,19.94
Oceanside,Mitch Webber,Corporate,10-01-2014,41254,Critical,Furniture,Medium Box,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,East,5817,12-01-2014,Regular Air,New York,11572,52,0.08,8,1,17,0.65,280.64,1782.68,5.81,107.53
Hicksville,Justin MacKendrick,Corporate,11-12-2014,40870,Critical,Furniture,Small Box,"Eldon® 300 Class™ Desk Accessories, Black",Office Furnishings,East,5758,13-12-2014,Regular Air,New York,11801,59,0,0,1,28,0.41,-64.05,146.69,5.32,4.95
Elmira,Helen Wasserman,Corporate,11-09-2012,44487,Critical,Furniture,Small Box,"Eldon® 200 Class™ Desk Accessories, Burgundy",Office Furnishings,East,6286,12-09-2012,Regular Air,New York,14901,42,0.09,9,1,4,0.43,-10.09,28.15,5.29,6.28
